layer,accuracy_mean,accuracy_std,auroc_mean,auroc_std
0,0.738195189214034,0.00024513559062353527,0.5,0.0
1,0.753150648952702,0.013030601096823363,0.8187851617440225,0.01691302677883411
2,0.7466042154566745,0.01834512981174016,0.8083068543873246,0.01930292337948516
3,0.7442688612138589,0.015255467591494331,0.8088431427423292,0.01661391318732032
4,0.7489450414760666,0.008902615398825121,0.810707414822469,0.013831169432899151
5,0.7545590842434722,0.01277848734694876,0.8145028201153879,0.01725540883439896
6,0.7531462715314409,0.01541851686036342,0.8152075439880593,0.017346493405672077
7,0.751288056206089,0.013626859302722191,0.8144357616464306,0.016589634899987167
8,0.7536245048042198,0.009943804998935412,0.8184159454921209,0.013995023788551603
9,0.7503523824115214,0.009226051128438639,0.816636815063578,0.01677016714311618
10,0.7517531572150846,0.0059796655954422,0.8186228436522288,0.019179066789971028
11,0.7456751077939986,0.00974353623997804,0.8178042029047905,0.01991138447238338
12,0.7508207664864628,0.010342893292788001,0.817537619478171,0.017578203145015365
13,0.756432620543238,0.015173490241583381,0.8227403556359253,0.020850515102207524
14,0.7564216769900851,0.01772751427774608,0.8174928061942076,0.02287966956182018
15,0.7709186018516492,0.017762561997006536,0.8259946109245385,0.01936182473314401
16,0.7629648274201668,0.014670673071571834,0.8178468096099198,0.01882430938697742
17,0.7582952132898508,0.021325522069145952,0.8132835328224116,0.020439610124381304
18,0.7554969467486704,0.017344624685942445,0.8121271599357043,0.022194649543656537
19,0.7643776401321981,0.010344339189246274,0.8116688553058353,0.019246522090275033
20,0.7592385475716256,0.018448982127103882,0.8084480036740433,0.01975416114617399
21,0.7709186018516492,0.020554922838847366,0.8176939995407446,0.018584750536935445
22,0.7592297927291034,0.016833419348279987,0.8049649638336348,0.021695901556870987
23,0.7423975136247237,0.00965852396537072,0.7936841076092884,0.023599281779463386
24,0.7494145199063232,0.017954383319979873,0.7913159641493729,0.025599827472004386
25,0.7508185777758323,0.016879168581900403,0.7914607551881513,0.021559127654388145
26,0.7386602902230297,0.03224014157560176,0.783508639742817,0.0326593244897546
27,0.7428724638315569,0.027507442442001605,0.7766377838055053,0.03858389038815173
28,0.7456718247280528,0.028511063468802313,0.7697485217715779,0.034788603927897455
29,0.740065442447854,0.026200540777430635,0.7660371279313413,0.035325933758539256
30,0.733050624876885,0.032807549411076886,0.7680085177530928,0.034486461180674485
31,0.7358587406159033,0.03615884180031021,0.7703491776457418,0.03840626147615399
32,0.727443148241371,0.029718543248827563,0.7650148002238869,0.031436613315335794
33,0.7311770885771192,0.02665750622944376,0.7716379452624932,0.03157234674206273
34,0.7260314298846549,0.023537566913433502,0.7648137324550074,0.029246268316237903
35,0.7316421895861149,0.01974208071333183,0.7683091865438159,0.03229043337884686
36,0.7250990391560331,0.02967156130865968,0.7571522037084877,0.029502219237744088
37,0.7180842215850644,0.024319465322249073,0.757497291110537,0.02913726255143628
38,0.7218225393420735,0.023997674178703875,0.7608048810241396,0.027054202352037378
39,0.7344513996804483,0.01739433162343174,0.7672952545997301,0.01770597052083159
40,0.7349241611766508,0.01823390032067002,0.7701392118028647,0.01788034129055111
